node_key,node_type,source,node_id,name
effect/phenotype|HPO|100029,effect/phenotype,HPO,100029,Lingual thyroid
effect/phenotype|HPO|10003,effect/phenotype,HPO,10003,Partial duplication of the proximal phalanges of the hand
effect/phenotype|HPO|100030,effect/phenotype,HPO,100030,Accessory ectopic thyroid tissue
effect/phenotype|HPO|100031,effect/phenotype,HPO,100031,Neoplasm of the thyroid gland
effect/phenotype|HPO|100033,effect/phenotype,HPO,100033,Tics
effect/phenotype|HPO|100034,effect/phenotype,HPO,100034,Motor tics
effect/phenotype|HPO|100035,effect/phenotype,HPO,100035,Phonic tics
effect/phenotype|HPO|100036,effect/phenotype,HPO,100036,Pseudo-fractures
effect/phenotype|HPO|100037,effect/phenotype,HPO,100037,Abnormality of the scalp hair
effect/phenotype|HPO|100038,effect/phenotype,HPO,100038,Slow-growing scalp hair
effect/phenotype|HPO|100039,effect/phenotype,HPO,100039,Thickened cortex of bones
effect/phenotype|HPO|10004,effect/phenotype,HPO,10004,Partial duplication of the distal phalanges of the hand
effect/phenotype|HPO|100040,effect/phenotype,HPO,100040,Broad 2nd toe
effect/phenotype|HPO|100041,effect/phenotype,HPO,100041,Broad 3rd toe
effect/phenotype|HPO|100042,effect/phenotype,HPO,100042,Broad 4th toe
effect/phenotype|HPO|100043,effect/phenotype,HPO,100043,Broad 5th toe
effect/phenotype|HPO|100044,effect/phenotype,HPO,100044,Absent epiphyses of the 2nd toe
effect/phenotype|HPO|100045,effect/phenotype,HPO,100045,Bracket epiphyses of the 2nd toe
effect/phenotype|HPO|100046,effect/phenotype,HPO,100046,Cone-shaped epiphyses of the 2nd toe
effect/phenotype|HPO|100047,effect/phenotype,HPO,100047,Enlarged epiphyses of the 2nd toe
effect/phenotype|HPO|100048,effect/phenotype,HPO,100048,Fragmentation of the epiphyses of the 2nd toe
effect/phenotype|HPO|100049,effect/phenotype,HPO,100049,Irregular epiphyses of the 2nd toe
effect/phenotype|HPO|10005,effect/phenotype,HPO,10005,Partial duplication of the middle phalanges of the hand
effect/phenotype|HPO|100050,effect/phenotype,HPO,100050,Ivory epiphyses of the 2nd toe
effect/phenotype|HPO|100051,effect/phenotype,HPO,100051,Pseudoepiphyses of the 2nd toe
effect/phenotype|HPO|100052,effect/phenotype,HPO,100052,Small epiphyses of the 2nd toe
effect/phenotype|HPO|100053,effect/phenotype,HPO,100053,Stippling of the epiphyses of the 2nd toe
effect/phenotype|HPO|100054,effect/phenotype,HPO,100054,Triangular epiphyses of the 2nd toe
effect/phenotype|HPO|100055,effect/phenotype,HPO,100055,Absent epiphyses of the 3rd toe
effect/phenotype|HPO|100056,effect/phenotype,HPO,100056,Bracket epiphyses of the 3rd toe
effect/phenotype|HPO|100057,effect/phenotype,HPO,100057,Cone-shaped epiphyses of the 3rd toe
effect/phenotype|HPO|100058,effect/phenotype,HPO,100058,Enlarged epiphyses of the 3rd toe
effect/phenotype|HPO|100059,effect/phenotype,HPO,100059,Fragmentation of the epiphyses of the 3rd toe
effect/phenotype|HPO|10006,effect/phenotype,HPO,10006,Duplication of the proximal phalanx of hand
effect/phenotype|HPO|100060,effect/phenotype,HPO,100060,Irregular epiphyses of the 3rd toe
effect/phenotype|HPO|100061,effect/phenotype,HPO,100061,Ivory epiphyses of the 3rd toe
effect/phenotype|HPO|100062,effect/phenotype,HPO,100062,Pseudoepiphyses of the 3rd toe
effect/phenotype|HPO|100063,effect/phenotype,HPO,100063,Small epiphyses of the 3rd toe
effect/phenotype|HPO|100064,effect/phenotype,HPO,100064,Stippling of the epiphyses of the 3rd toe
effect/phenotype|HPO|100065,effect/phenotype,HPO,100065,Triangular epiphyses of the 3rd toe
effect/phenotype|HPO|100066,effect/phenotype,HPO,100066,Absent epiphyses of the 4th toe
effect/phenotype|HPO|100067,effect/phenotype,HPO,100067,Bracket epiphyses of the 4th toe
effect/phenotype|HPO|100068,effect/phenotype,HPO,100068,Cone-shaped epiphyses of the 4th toe
effect/phenotype|HPO|100069,effect/phenotype,HPO,100069,Enlarged epiphyses of the 4th toe
effect/phenotype|HPO|100070,effect/phenotype,HPO,100070,Fragmentation of the epiphyses of the 4th toe
effect/phenotype|HPO|100071,effect/phenotype,HPO,100071,Irregular epiphyses of the 4th toe
effect/phenotype|HPO|100072,effect/phenotype,HPO,100072,Ivory epiphyses of the 4th toe
effect/phenotype|HPO|100073,effect/phenotype,HPO,100073,Pseudoepiphyses of the 4th toe
effect/phenotype|HPO|100074,effect/phenotype,HPO,100074,Small epiphyses of the 4th toe
effect/phenotype|HPO|100075,effect/phenotype,HPO,100075,Stippling of the epiphyses of the 4th toe
effect/phenotype|HPO|100076,effect/phenotype,HPO,100076,Triangular epiphyses of the 4th toe
effect/phenotype|HPO|100077,effect/phenotype,HPO,100077,Absent epiphyses of the 5th toe
effect/phenotype|HPO|100078,effect/phenotype,HPO,100078,Bracket epiphyses of the 5th toe
effect/phenotype|HPO|100079,effect/phenotype,HPO,100079,Cone-shaped epiphyses of the 5th toe
effect/phenotype|HPO|10008,effect/phenotype,HPO,10008,Duplication of the middle phalanx of hand
effect/phenotype|HPO|100080,effect/phenotype,HPO,100080,Enlarged epiphyses of the 5th toe
effect/phenotype|HPO|100081,effect/phenotype,HPO,100081,Fragmentation of the epiphyses of the 5th toe
effect/phenotype|HPO|100082,effect/phenotype,HPO,100082,Irregular epiphyses of the 5th toe
effect/phenotype|HPO|100083,effect/phenotype,HPO,100083,Ivory epiphyses of the 5th toe
effect/phenotype|HPO|100084,effect/phenotype,HPO,100084,Pseudoepiphyses of the 5th toe
effect/phenotype|HPO|100085,effect/phenotype,HPO,100085,Small epiphyses of the 5th toe
effect/phenotype|HPO|100086,effect/phenotype,HPO,100086,Stippling of the epiphyses of the 5th toe
effect/phenotype|HPO|100087,effect/phenotype,HPO,100087,Triangular epiphyses of the 5th toe
effect/phenotype|HPO|100088,effect/phenotype,HPO,100088,Abnormality of the epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100089,effect/phenotype,HPO,100089,Abnormality of the epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|10009,effect/phenotype,HPO,10009,Abnormality of the 1st metacarpal
effect/phenotype|HPO|100090,effect/phenotype,HPO,100090,Abnormality of the epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100091,effect/phenotype,HPO,100091,Abnormality of the epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100092,effect/phenotype,HPO,100092,Abnormality of the epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100093,effect/phenotype,HPO,100093,Abnormality of the epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100094,effect/phenotype,HPO,100094,Abnormality of the epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100095,effect/phenotype,HPO,100095,Abnormality of the epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100096,effect/phenotype,HPO,100096,Abnormality of the epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100097,effect/phenotype,HPO,100097,Abnormality of the epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100098,effect/phenotype,HPO,100098,Abnormality of the epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100099,effect/phenotype,HPO,100099,Abnormality of the epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|1001,effect/phenotype,HPO,1001,Abnormality of subcutaneous fat tissue
effect/phenotype|HPO|10010,effect/phenotype,HPO,10010,Abnormality of the 2nd metacarpal
effect/phenotype|HPO|100100,effect/phenotype,HPO,100100,Absent epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100101,effect/phenotype,HPO,100101,Bracket epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100102,effect/phenotype,HPO,100102,Cone-shaped epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100103,effect/phenotype,HPO,100103,Enlarged epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100104,effect/phenotype,HPO,100104,Fragmentation of the epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100105,effect/phenotype,HPO,100105,Irregular epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100106,effect/phenotype,HPO,100106,Ivory epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100107,effect/phenotype,HPO,100107,Pseudoepiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100108,effect/phenotype,HPO,100108,Small epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100109,effect/phenotype,HPO,100109,Stippling of the epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|10011,effect/phenotype,HPO,10011,Abnormality of the 3rd metacarpal
effect/phenotype|HPO|100110,effect/phenotype,HPO,100110,Triangular epiphysis of the distal phalanx of the 2nd toe
effect/phenotype|HPO|100111,effect/phenotype,HPO,100111,Absent epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100112,effect/phenotype,HPO,100112,Bracket epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100113,effect/phenotype,HPO,100113,Cone-shaped epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100114,effect/phenotype,HPO,100114,Enlarged epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100115,effect/phenotype,HPO,100115,Fragmentation of the epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100116,effect/phenotype,HPO,100116,Irregular epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100117,effect/phenotype,HPO,100117,Ivory epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100118,effect/phenotype,HPO,100118,Pseudoepiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100119,effect/phenotype,HPO,100119,Small epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|10012,effect/phenotype,HPO,10012,Abnormality of the 4th metacarpal
effect/phenotype|HPO|100120,effect/phenotype,HPO,100120,Stippling of the epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100121,effect/phenotype,HPO,100121,Triangular epiphysis of the middle phalanx of the 2nd toe
effect/phenotype|HPO|100122,effect/phenotype,HPO,100122,Absent epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100123,effect/phenotype,HPO,100123,Bracket epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100124,effect/phenotype,HPO,100124,Cone-shaped epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100125,effect/phenotype,HPO,100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100126,effect/phenotype,HPO,100126,Fragmentation of the epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100127,effect/phenotype,HPO,100127,Irregular epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100128,effect/phenotype,HPO,100128,Ivory epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100129,effect/phenotype,HPO,100129,Pseudoepiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|10013,effect/phenotype,HPO,10013,Abnormality of the 5th metacarpal
effect/phenotype|HPO|100130,effect/phenotype,HPO,100130,Small epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100131,effect/phenotype,HPO,100131,Stippling of the epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100132,effect/phenotype,HPO,100132,Triangular epiphysis of the proximal phalanx of the 2nd toe
effect/phenotype|HPO|100133,effect/phenotype,HPO,100133,Abnormality of the pubic hair
effect/phenotype|HPO|100134,effect/phenotype,HPO,100134,Abnormality of the axillary hair
effect/phenotype|HPO|100135,effect/phenotype,HPO,100135,Absent epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100136,effect/phenotype,HPO,100136,Bracket epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100137,effect/phenotype,HPO,100137,Cone-shaped epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100138,effect/phenotype,HPO,100138,Enlarged epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100139,effect/phenotype,HPO,100139,Fragmentation of the epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|10014,effect/phenotype,HPO,10014,Abnormality of the epiphysis of the 1st metacarpal
effect/phenotype|HPO|100140,effect/phenotype,HPO,100140,Irregular epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100141,effect/phenotype,HPO,100141,Ivory epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100142,effect/phenotype,HPO,100142,Pseudoepiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100143,effect/phenotype,HPO,100143,Small epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100144,effect/phenotype,HPO,100144,Stippling of the epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100145,effect/phenotype,HPO,100145,Triangular epiphysis of the distal phalanx of the 3rd toe
effect/phenotype|HPO|100146,effect/phenotype,HPO,100146,Absent epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100147,effect/phenotype,HPO,100147,Bracket epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100148,effect/phenotype,HPO,100148,Cone-shaped epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100149,effect/phenotype,HPO,100149,Enlarged epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|10015,effect/phenotype,HPO,10015,Absent epiphysis of the 1st metacarpal
effect/phenotype|HPO|100150,effect/phenotype,HPO,100150,Fragmentation of the epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100151,effect/phenotype,HPO,100151,Irregular epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100152,effect/phenotype,HPO,100152,Ivory epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100153,effect/phenotype,HPO,100153,Pseudoepiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100154,effect/phenotype,HPO,100154,Small epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100155,effect/phenotype,HPO,100155,Stippling of the epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100156,effect/phenotype,HPO,100156,Triangular epiphysis of the middle phalanx of the 3rd toe
effect/phenotype|HPO|100157,effect/phenotype,HPO,100157,Absent epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100158,effect/phenotype,HPO,100158,Bracket epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100159,effect/phenotype,HPO,100159,Cone-shaped epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|10016,effect/phenotype,HPO,10016,Bracket epiphysis of the 1st metacarpal
effect/phenotype|HPO|100160,effect/phenotype,HPO,100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100161,effect/phenotype,HPO,100161,Fragmentation of the epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100162,effect/phenotype,HPO,100162,Irregular epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100163,effect/phenotype,HPO,100163,Ivory epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100164,effect/phenotype,HPO,100164,Pseudoepiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100165,effect/phenotype,HPO,100165,Small epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100166,effect/phenotype,HPO,100166,Stippling of the epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100167,effect/phenotype,HPO,100167,Triangular epiphysis of the proximal phalanx of the 3rd toe
effect/phenotype|HPO|100168,effect/phenotype,HPO,100168,Fragmented epiphyses
effect/phenotype|HPO|100169,effect/phenotype,HPO,100169,Absent epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|10017,effect/phenotype,HPO,10017,Cone-shaped epiphysis of the 1st metacarpal
effect/phenotype|HPO|100170,effect/phenotype,HPO,100170,Bracket epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100171,effect/phenotype,HPO,100171,Cone-shaped epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100172,effect/phenotype,HPO,100172,Enlarged epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100173,effect/phenotype,HPO,100173,Fragmentation of the epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100174,effect/phenotype,HPO,100174,Irregular epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100175,effect/phenotype,HPO,100175,Ivory epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100176,effect/phenotype,HPO,100176,Pseudoepiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100177,effect/phenotype,HPO,100177,Small epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100178,effect/phenotype,HPO,100178,Stippling of the epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|100179,effect/phenotype,HPO,100179,Triangular epiphysis of the distal phalanx of the 4th toe
effect/phenotype|HPO|10018,effect/phenotype,HPO,10018,Enlarged epiphysis of the 1st metacarpal
effect/phenotype|HPO|100180,effect/phenotype,HPO,100180,Absent epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100181,effect/phenotype,HPO,100181,Bracket epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100182,effect/phenotype,HPO,100182,Cone-shaped epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100183,effect/phenotype,HPO,100183,Enlarged epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100184,effect/phenotype,HPO,100184,Fragmentation of the epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100185,effect/phenotype,HPO,100185,Irregular epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100186,effect/phenotype,HPO,100186,Ivory epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100187,effect/phenotype,HPO,100187,Pseudoepiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100188,effect/phenotype,HPO,100188,Small epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100189,effect/phenotype,HPO,100189,Stippling of the epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|10019,effect/phenotype,HPO,10019,Fragmentation of the epiphysis of the 1st metacarpal
effect/phenotype|HPO|100190,effect/phenotype,HPO,100190,Triangular epiphysis of the middle phalanx of the 4th toe
effect/phenotype|HPO|100191,effect/phenotype,HPO,100191,Absent epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100192,effect/phenotype,HPO,100192,Bracket epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100193,effect/phenotype,HPO,100193,Cone-shaped epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100194,effect/phenotype,HPO,100194,Enlarged epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100195,effect/phenotype,HPO,100195,Fragmentation of the epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100196,effect/phenotype,HPO,100196,Irregular epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100197,effect/phenotype,HPO,100197,Ivory epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100198,effect/phenotype,HPO,100198,Pseudoepiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100199,effect/phenotype,HPO,100199,Small epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|10020,effect/phenotype,HPO,10020,Irregular epiphysis of the 1st metacarpal
effect/phenotype|HPO|100200,effect/phenotype,HPO,100200,Stippling of the epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100201,effect/phenotype,HPO,100201,Triangular epiphysis of the proximal phalanx of the 4th toe
effect/phenotype|HPO|100202,effect/phenotype,HPO,100202,Absent epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100203,effect/phenotype,HPO,100203,Bracket epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100204,effect/phenotype,HPO,100204,Cone-shaped epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100205,effect/phenotype,HPO,100205,Enlarged epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100206,effect/phenotype,HPO,100206,Fragmentation of the epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100207,effect/phenotype,HPO,100207,Irregular epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100208,effect/phenotype,HPO,100208,Ivory epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100209,effect/phenotype,HPO,100209,Pseudoepiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|10021,effect/phenotype,HPO,10021,Ivory epiphysis of the 1st metacarpal
effect/phenotype|HPO|100210,effect/phenotype,HPO,100210,Small epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100211,effect/phenotype,HPO,100211,Stippling of the epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100212,effect/phenotype,HPO,100212,Triangular epiphysis of the distal phalanx of the 5th toe
effect/phenotype|HPO|100213,effect/phenotype,HPO,100213,Absent epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100214,effect/phenotype,HPO,100214,Bracket epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100215,effect/phenotype,HPO,100215,Cone-shaped epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100216,effect/phenotype,HPO,100216,Enlarged epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100217,effect/phenotype,HPO,100217,Fragmentation of the epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100218,effect/phenotype,HPO,100218,Irregular epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100219,effect/phenotype,HPO,100219,Ivory epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|10022,effect/phenotype,HPO,10022,Pseudoepiphysis of the 1st metacarpal
effect/phenotype|HPO|100220,effect/phenotype,HPO,100220,Pseudoepiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100221,effect/phenotype,HPO,100221,Small epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100222,effect/phenotype,HPO,100222,Stippling of the epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100223,effect/phenotype,HPO,100223,Triangular epiphysis of the middle phalanx of the 5th toe
effect/phenotype|HPO|100224,effect/phenotype,HPO,100224,Absent epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100225,effect/phenotype,HPO,100225,Bracket epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100226,effect/phenotype,HPO,100226,Cone-shaped epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100227,effect/phenotype,HPO,100227,Enlarged epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100228,effect/phenotype,HPO,100228,Fragmentation of the epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100229,effect/phenotype,HPO,100229,Irregular epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|10023,effect/phenotype,HPO,10023,Small epiphysis of the 1st metacarpal
effect/phenotype|HPO|100230,effect/phenotype,HPO,100230,Ivory epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100231,effect/phenotype,HPO,100231,Pseudoepiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100232,effect/phenotype,HPO,100232,Small epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100233,effect/phenotype,HPO,100233,Stippling of the epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100234,effect/phenotype,HPO,100234,Triangular epiphysis of the proximal phalanx of the 5th toe
effect/phenotype|HPO|100235,effect/phenotype,HPO,100235,Synostosis involving bones of the toes
effect/phenotype|HPO|100237,effect/phenotype,HPO,100237,Proximal foot symphalangism
effect/phenotype|HPO|100238,effect/phenotype,HPO,100238,Synostosis involving bones of the upper limbs
effect/phenotype|HPO|10024,effect/phenotype,HPO,10024,Epiphyseal stippling of the first metacarpal
effect/phenotype|HPO|100240,effect/phenotype,HPO,100240,Synostosis of joints
effect/phenotype|HPO|100241,effect/phenotype,HPO,100241,Ectopic respiratory mucosa
effect/phenotype|HPO|100242,effect/phenotype,HPO,100242,Sarcoma
effect/phenotype|HPO|100243,effect/phenotype,HPO,100243,Leiomyosarcoma
effect/phenotype|HPO|100245,effect/phenotype,HPO,100245,Desmoid tumors
effect/phenotype|HPO|100248,effect/phenotype,HPO,100248,Hemiballismus
effect/phenotype|HPO|100249,effect/phenotype,HPO,100249,Calcification of muscles
effect/phenotype|HPO|10025,effect/phenotype,HPO,10025,Triangular epiphysis of the 1st metacarpal
effect/phenotype|HPO|100250,effect/phenotype,HPO,100250,Meningeal calcification
effect/phenotype|HPO|100251,effect/phenotype,HPO,100251,Multiple central nervous system lipomas
effect/phenotype|HPO|100252,effect/phenotype,HPO,100252,Diaphyseal dysplasia
effect/phenotype|HPO|100253,effect/phenotype,HPO,100253,Abnormality of the medullary cavity of the long bones
effect/phenotype|HPO|100254,effect/phenotype,HPO,100254,Stenosis of the medullary cavity of the long bones
